periodo,IGAE (índice),Var. mensual desest. (%),Var. anual original (%),Act. primarias (índice),Var. anual act. primarias (%),Act. secundarias (índice),Var. anual act. secundarias (%),Act. terciarias (índice),Var. anual act. terciarias (%)
Sep 12,87.314057,,0.006739,60.127364,-0.054071,95.157091,0.027101,84.373525,-0.003374
Oct 12,91.364217,,0.043599,75.573902,0.026518,97.709243,0.023649,88.639698,0.057337
Nov 12,93.410555,,0.028904,112.927837,0.120124,95.514987,0.010372,91.127806,0.034384
Dic 12,90.41816,,0.013579,106.169891,0.073178,91.967856,-0.015576,88.660311,0.027705
Ene 13,87.662037,,0.026997,88.040577,0.093981,91.795723,0.006629,85.292849,0.036166
Feb 13,85.139134,,-0.001848,78.031282,0.031305,90.795957,-0.01,82.321825,0.001619
Mar 13,87.348826,,-0.030751,68.609069,-0.097148,92.46148,-0.046617,85.488664,-0.017475
Abr 13,90.458044,,0.043696,86.083369,0.069394,95.217513,0.02064,87.998198,0.056987
May 13,91.668922,,0.01712,95.89881,0.072293,96.751212,0.005395,88.546323,0.021342
Jun 13,89.262239,,-0.00586,103.334933,0.01551,93.300123,-0.02304,86.184542,0.003583
Jul 13,91.106924,,0.013257,94.065229,0.045381,96.415834,-0.010471,87.926438,0.026711
Ago 13,90.191414,,0.008307,72.091576,0.012822,96.179258,-0.001456,87.798457,0.01427
Sep 13,88.218546,,0.010359,63.912109,0.062945,93.224201,-0.020313,86.729295,0.027921
Oct 13,92.824761,,0.015986,83.419768,0.103817,99.128999,0.01453,89.767673,0.012725
Nov 13,93.048243,,-0.003879,108.935092,-0.035357,95.100226,-0.004342,90.997546,-0.001429
Dic 13,92.09495,,0.018545,111.054242,0.046005,92.644822,0.007361,90.726341,0.023303
Ene 14,88.055324,,0.004486,86.271816,-0.02009,92.336494,0.005891,85.722811,0.005041
Feb 14,86.924389,,0.020969,85.741033,0.098803,91.377227,0.006402,84.460926,0.025985
Mar 14,91.513084,,0.047674,73.373592,0.069445,98.477701,0.065067,88.567491,0.036014
Abr 14,90.606821,,0.001645,87.090827,0.011703,96.510804,0.013582,87.449006,-0.006241
May 14,93.77173,,0.022939,101.638122,0.059848,99.026796,0.02352,90.348391,0.020352
Jun 14,92.240837,,0.033369,102.898042,-0.004228,97.565597,0.045718,88.622426,0.028287
Jul 14,94.151086,,0.033413,97.567377,0.037231,99.598861,0.033014,90.866204,0.033434
Ago 14,91.26925,,0.011951,76.367088,0.059307,97.2924,0.011574,88.67809,0.010019
Sep 14,91.305022,,0.034987,67.75293,0.060095,97.167861,0.042303,89.28683,0.029489
Oct 14,95.618833,,0.030101,80.235719,-0.038169,102.783691,0.036868,92.405931,0.02939
Nov 14,94.901719,,0.01992,110.506155,0.014422,97.560773,0.025873,92.521916,0.016752
Dic 14,95.498429,,0.036956,116.221244,0.046527,96.248638,0.038899,93.917772,0.035176
Ene 15,90.618372,,0.029107,93.437816,0.083063,94.175025,0.019911,88.440974,0.031709
Feb 15,89.267739,,0.026958,87.836391,0.024438,94.12254,0.030044,86.589762,0.025205
Mar 15,94.331545,,0.030798,76.092597,0.037057,99.683897,0.012248,92.307323,0.042226
Abr 15,92.929382,,0.025633,87.80119,0.008157,97.79315,0.013287,90.452269,0.034343
May 15,94.018455,,0.002631,102.836164,0.011787,98.362166,-0.006712,91.059801,0.007874
Jun 15,95.598733,,0.036404,98.480736,-0.042929,98.934321,0.014029,93.543424,0.055528
Jul 15,96.244189,,0.022231,91.336633,-0.063861,101.757377,0.021672,93.385887,0.02773
Ago 15,93.906886,,0.0289,75.706358,-0.008652,100.53001,0.033277,91.158674,0.027973
Sep 15,95.487849,,0.045812,69.968943,0.032707,101.770242,0.047365,93.340907,0.045405
Oct 15,97.291793,,0.017496,80.927306,0.008619,103.549883,0.007454,94.648646,0.02427
Nov 15,96.719774,,0.019157,109.88136,-0.005654,98.678853,0.01146,94.87368,0.025418
Dic 15,97.507988,,0.021043,127.128434,0.093849,97.813351,0.016257,95.684316,0.018809
Ene 16,91.735197,,0.012324,97.767425,0.046337,95.467407,0.013723,89.279085,0.009477
Feb 16,92.725298,,0.038732,87.310989,-0.005982,96.991962,0.030486,90.603304,0.046351
Mar 16,94.127284,,-0.002165,69.883375,-0.081601,98.71387,-0.009731,92.872597,0.006124
Abr 16,95.749487,,0.030347,90.418415,0.029809,100.295032,0.025583,93.46444,0.033301
May 16,96.000071,,0.021077,97.270885,-0.054118,99.523152,0.011803,93.928021,0.031498
Jun 16,97.383327,,0.018668,108.831633,0.105106,99.967083,0.010439,95.277842,0.018541
Jul 16,95.394388,,-0.00883,92.78616,0.01587,99.329985,-0.023855,93.304122,-0.000876
Ago 16,96.882039,,0.031682,87.061238,0.149986,101.136346,0.006031,95.012559,0.042277
Sep 16,95.737175,,0.002611,72.483287,0.035935,99.125059,-0.025992,95.108242,0.018934
Oct 16,97.662676,,0.003812,84.297953,0.04165,101.401227,-0.02075,96.283604,0.017274
Nov 16,100.849551,,0.042698,116.775408,0.062741,101.011202,0.023636,99.870466,0.052668
