periodo,IMAI (índice desest.),Var. mensual desest. (%),Var. anual desest. (%),IMAI (índice original),Var. anual original (%),Acumulado ene-mes original (%),Minería (índice desest.),"Energía, agua y gas (índice desest.)",Construcción (índice desest.),Industrias manufactureras (índice desest.),Var. anual Minería (%),Var. anual Energía (%),Var. anual Construcción (%),Var. anual Manufacturas (%),Var. mensual Minería (%),Var. mensual Energía (%),Var. mensual Construcción (%),Var. mensual Manufacturas (%)
Feb 01,84.384981,,,83.567078,,0.003994,132.802346,35.46954,72.325994,83.592203,,,,,,,,
Mar 01,83.344101,,,84.001557,,-0.005032,132.092812,35.02013,73.217903,81.384624,,,,,,,,
Abr 01,82.582808,,,81.471321,,-0.009559,128.613471,35.136506,70.122684,81.707454,,,,,,,,
May 01,83.157756,,,82.105679,,-0.013,127.805147,34.716956,71.551335,82.315335,,,,,,,,
Jun 01,82.937604,,,81.284514,,-0.016141,131.443448,35.138361,72.04273,81.209135,,,,,,,,
Jul 01,82.954438,,,83.8682,,-0.020537,131.666286,35.129889,74.432562,80.996322,,,,,,,,
Ago 01,82.923636,,,85.079516,,-0.022122,131.299521,36.480072,74.934524,80.272808,,,,,,,,
Sep 01,83.226331,,,86.791806,,-0.022495,130.487016,37.047427,74.212947,80.814694,,,,,,,,
Oct 01,81.59661,,,82.718746,,-0.024201,128.538694,38.355781,72.074032,79.132316,,,,,,,,
Nov 01,82.319115,,,80.159991,,-0.024194,132.205697,39.670577,73.053135,79.075203,,,,,,,,
Dic 01,81.745764,,,80.248652,,-0.022885,133.173163,41.614589,72.925106,77.993181,,,,,,,,
Ene 02,80.976408,,,80.802935,,-0.053035,130.102619,40.607281,70.831753,78.278267,,,,,,,,
Feb 02,79.313409,,,78.07483,,-0.059313,129.045418,42.260781,69.568835,76.916545,,,,,,,,
Mar 02,80.217116,,,80.834072,,-0.052134,126.71136,43.168953,68.129185,78.253023,,,,,,,,
Abr 02,81.638428,,,81.047205,,-0.040707,128.863835,44.581203,70.437821,79.06499,,,,,,,,
May 02,81.019187,,,80.059431,,-0.037583,129.275089,46.365423,70.884708,77.785252,,,,,,,,
Jun 02,81.221835,,,80.049304,,-0.03393,128.324348,46.847901,70.664908,78.295536,,,,,,,,
Jul 02,81.430754,,,82.03225,,-0.032194,128.366177,47.770028,71.712216,78.645268,,,,,,,,
Ago 02,82.374066,,,84.43739,,-0.029055,129.275531,47.939843,72.779375,79.240568,,,,,,,,
Sep 02,82.336918,,,85.471238,,-0.027457,127.749761,48.653582,73.959555,78.88233,,,,,,,,
Oct 02,83.261042,,,85.013253,,-0.021998,134.288724,48.571243,74.024885,79.463824,,,,,,,,
