periodo,Índice total (desest.),Var. mensual total (%),Var. anual total (%),Índice construcción (desest.),Var. mensual construcción (%),Var. anual construcción (%),Índice maquinaria y equipo (desest.),Var. mensual maquinaria y equipo (%),Var. anual maquinaria y equipo (%),Índice residencial (desest.),Var. anual residencial (%),Índice no residencial (desest.),Var. anual no residencial (%),Índice maquinaria y equipo nacional (desest.),Var. anual maquinaria y equipo nacional (%),Índice equipo de transporte nacional (desest.),Var. anual equipo de transporte nacional (%),"Índice maquinaria, equipo y otros bienes nacionales (desest.)","Var. anual maquinaria, equipo y otros bienes nacionales (%)",Índice maquinaria y equipo importado (desest.),Var. anual maquinaria y equipo importado (%),Índice equipo de transporte importado (desest.),Var. anual equipo de transporte importado (%),"Índice maquinaria, equipo y otros bienes importados (desest.)","Var. anual maquinaria, equipo y otros bienes importados (%)",Índice total (original),Var. anual original total (%),Acumulado ene-mes total (%),Índice construcción (original),Var. anual original construcción (%),Acumulado ene-mes construcción (%),Índice residencial (original),Var. anual original residencial (%),Acumulado ene-mes residencial (%),Índice no residencial (original),Var. anual original no residencial (%),Acumulado ene-mes no residencial (%),Índice maquinaria y equipo (original),Var. anual original maquinaria y equipo (%),Acumulado ene-mes maquinaria y equipo (%)
Mar 96,46.35,0.012672,0.093934,63.9,0.008841,0.116547,25.91,-0.000771,0.010136,60.2,0.042785,68.96,0.20307,41.38,0.000484,17.8,-0.006142,68.09,-0.005259,14.49,0.021862,16.75,0.961358,14.78,-0.060394,46.12,0.065865,0.024151,64.07,0.106563,0.031994,57.25,0.033394,0.030946,71.57,0.180049,0.032854,25.32,-0.037628,0.002563
Abr 96,48.17,0.039266,0.160443,65.64,0.02723,0.147753,27.28,0.052875,0.221675,59.65,0.039742,72.0,0.280228,43.65,0.174966,20.51,0.303878,69.77,0.101864,15.94,0.303352,31.11,2.734694,15.03,0.149962,44.92,0.171317,0.056403,60.88,0.14093,0.056156,56.79,0.030111,0.030747,65.38,0.271737,0.081944,26.44,0.26145,0.05738
May 96,49.05,0.018269,0.276679,66.86,0.018586,0.313814,28.68,0.05132,0.181219,60.12,0.077033,75.03,0.564103,46.95,0.225209,23.23,0.532322,71.34,0.178394,15.37,0.120262,18.13,1.069635,15.15,0.050624,46.56,0.282645,0.095272,62.28,0.318933,0.09927,50.5,0.081834,0.039308,75.24,0.573729,0.16085,28.36,0.198648,0.084631
Jun 96,50.77,0.035066,0.264823,69.27,0.036045,0.286829,28.84,0.005579,0.182452,61.12,0.062587,78.37,0.569283,47.27,0.279296,25.46,0.937595,70.3,0.143833,15.01,0.012821,17.99,0.659594,14.7,-0.030982,45.88,0.244372,0.117424,63.77,0.288023,0.126975,55.97,0.067519,0.043776,72.36,0.562851,0.214912,25.16,0.131295,0.091794
Jul 96,52.1,0.026197,0.291522,72.03,0.039844,0.348624,28.97,0.004508,0.165326,62.08,0.085125,83.46,0.675904,47.61,0.258525,25.37,0.906086,69.04,0.155095,15.47,0.0334,18.93,0.537774,14.97,-0.015132,51.44,0.326115,0.145635,70.32,0.367561,0.158799,59.87,0.10502,0.052391,81.84,0.691608,0.273646,29.56,0.22351,0.110618
Ago 96,52.1,0.0,0.278841,71.37,-0.009163,0.29929,29.65,0.023473,0.213175,59.53,0.002189,84.66,0.704793,47.71,0.286677,29.3,1.611408,67.63,0.078284,16.27,0.082502,18.41,0.070349,15.62,0.070596,54.31,0.280594,0.163013,75.9,0.317251,0.179254,64.88,0.011064,0.046489,88.04,0.746825,0.327473,29.3,0.181452,0.11968
Sep 96,52.61,0.009789,0.230643,71.3,-0.000981,0.227406,30.26,0.020573,0.218196,59.75,0.021892,84.33,0.557628,47.86,0.272872,29.01,1.564987,67.86,0.075947,17.15,0.123117,18.04,-0.03581,16.71,0.138283,52.91,0.22818,0.170551,74.12,0.240087,0.186438,73.67,0.038337,0.045378,74.6,0.57185,0.351117,28.36,0.193603,0.127751
Oct 96,54.19,0.030032,0.263465,74.02,0.038149,0.266382,31.51,0.041309,0.286122,60.97,0.013296,87.79,0.559325,49.88,0.331198,31.76,1.289834,70.1,0.105853,18.05,0.210597,22.39,0.255045,17.25,0.197085,55.67,0.28687,0.182656,76.86,0.27505,0.195869,62.38,0.015134,0.042183,92.8,0.572881,0.374927,31.12,0.322005,0.146714
Nov 96,53.89,-0.005536,0.211283,73.77,-0.003377,0.175992,31.28,-0.007299,0.309334,60.31,-0.039803,87.77,0.412683,48.79,0.319005,29.83,1.793071,69.85,0.07412,18.25,0.271777,19.56,0.217933,17.82,0.280172,55.84,0.202412,0.184641,72.67,0.169456,0.193257,57.7,-0.056419,0.032804,89.15,0.409486,0.378494,36.35,0.287181,0.161439
Dic 96,55.36,0.027278,0.198009,74.9,0.015318,0.147365,33.25,0.06298,0.363823,62.23,-0.048471,88.88,0.345851,51.61,0.391855,31.86,1.467854,72.06,0.072162,19.79,0.321977,23.54,0.697188,18.89,0.301861,61.89,0.19065,0.185249,84.44,0.127671,0.186276,68.34,-0.06165,0.023193,102.17,0.324647,0.372474,35.78,0.40479,0.182459
