periodo,Primarias,Secundarias,Terciarias,Var. trim. Terciarias (%),Var. anual Terciarias (%),PIB,Var. trim. PIB (%),Var. anual PIB (%),Var. trim. Primarias (%),Var. anual Primarias (%),Var. trim. Secundarias (%),Var. anual Secundarias (%)
3T-18,678678.138,7866374.716,14313691.858,-0.002588,0.036715,24137287.71,-0.010594,0.0275,-0.18831,0.002465,0.002516,0.013349
4T-18,927335.203,7679579.898,14753228.779,0.030707,0.020301,24605265.729,0.019388,0.011365,0.366384,0.011524,-0.023746,-0.00811
1T-19,762358.255,7585247.998,14098986.406,-0.044346,0.014323,23790581.652,-0.03311,0.009427,-0.177904,0.021603,-0.012283,-0.001412
2T-19,831203.432,7689870.356,14270949.004,0.012197,-0.005566,24154792.378,0.015309,-0.009876,0.090306,-0.005891,0.013793,-0.019978
3T-19,690888.813,7729308.418,14322078.244,0.003583,0.000586,24024906.35,-0.005377,-0.004656,-0.168809,0.017992,0.005129,-0.017424
4T-19,913457.081,7444610.529,14754773.247,0.030212,0.000105,24356643.155,0.013808,-0.010104,0.322148,-0.014966,-0.036834,-0.030597
1T-20,753610.892,7388698.882,14013025.696,-0.050272,-0.006097,23449993.643,-0.037224,-0.014316,-0.17499,-0.011474,-0.00751,-0.025912
2T-20,821162.608,5814815.401,11664084.703,-0.167626,-0.182669,19252739.685,-0.178987,-0.202943,0.089637,-0.01208,-0.213012,-0.243834
3T-20,730596.261,7169315.544,13054858.82,0.119236,-0.08848,22072209.167,0.146445,-0.081278,-0.11029,0.057473,0.232939,-0.072451
4T-20,928349.759,7385109.781,14047810.598,0.07606,-0.047914,23504796.547,0.064905,-0.034974,0.270674,0.016304,0.0301,-0.007992
1T-21,757806.238,7266162.011,13609045.197,-0.031234,-0.028829,22841359.685,-0.028226,-0.025955,-0.183706,0.005567,-0.016106,-0.016584
2T-21,872119.144,7397236.24,14063214.857,0.033373,0.205685,23623455.056,0.03424,0.227018,0.150847,0.062054,0.018039,0.272136
3T-21,720453.175,7417983.192,13810362.579,-0.01798,0.057871,23204796.817,-0.017722,0.051313,-0.173905,-0.013883,0.002805,0.034685
